[01/16/17 11:53:28] Server Open OK # Port:5000
[01/16/17 14:04:58] Frame : 25  Loop : 52501
[01/16/17 14:04:59] Frame : 26  Loop : 66170
[01/16/17 14:05:00] Frame : 25  Loop : 54161
[01/16/17 14:05:01] Frame : 25  Loop : 56068
[01/16/17 14:05:02] Frame : 25  Loop : 56622
[01/16/17 14:05:03] Frame : 25  Loop : 51399
[01/16/17 14:05:04] Frame : 25  Loop : 10060
[01/16/17 14:05:05] Frame : 25  Loop : 8014
[01/16/17 14:05:06] Frame : 26  Loop : 11385
[01/16/17 14:05:07] Frame : 22  Loop : 2966
[01/16/17 14:05:08] Frame : 16  Loop : 16
[01/16/17 14:05:10] Frame : 39  Loop : 3621
[01/16/17 14:05:11] Frame : 29  Loop : 17002
[01/16/17 14:05:12] Frame : 25  Loop : 45894
[01/16/17 14:05:13] Frame : 25  Loop : 40402
[01/16/17 14:05:14] Frame : 25  Loop : 58007
[01/16/17 14:05:15] Frame : 25  Loop : 48809
[01/16/17 14:05:16] Frame : 25  Loop : 50813
[01/16/17 14:05:17] Frame : 25  Loop : 58707
[01/16/17 14:05:18] Frame : 26  Loop : 53165
[01/16/17 14:05:19] Frame : 25  Loop : 58216
[01/16/17 14:05:20] Frame : 25  Loop : 59768
[01/16/17 14:05:21] Frame : 25  Loop : 51649
[01/16/17 14:05:22] Frame : 25  Loop : 63557
[01/16/17 14:05:23] Frame : 25  Loop : 58293
[01/16/17 14:05:24] Frame : 25  Loop : 55352
[01/16/17 14:05:25] Frame : 25  Loop : 63965
[01/16/17 14:05:26] Frame : 25  Loop : 50750
[01/16/17 14:05:27] Frame : 25  Loop : 61570
[01/16/17 14:05:28] Frame : 25  Loop : 59672
[01/16/17 14:05:29] Frame : 25  Loop : 52118
[01/16/17 14:05:30] Frame : 25  Loop : 60974
[01/16/17 14:05:31] Frame : 25  Loop : 51645
[01/16/17 14:05:32] Frame : 25  Loop : 54953
[01/16/17 14:05:33] Frame : 25  Loop : 8588
[01/16/17 14:05:34] Frame : 26  Loop : 11149
[01/16/17 14:05:35] Frame : 26  Loop : 18629
[01/16/17 14:05:35] Connect Session # IP:127.0.0.1 / SessionID:2 
[01/16/17 14:05:36] Frame : 23  Loop : 15722
[01/16/17 14:05:37] Frame : 30  Loop : 38821
[01/16/17 14:05:38] Frame : 25  Loop : 45308
[01/16/17 14:05:39] Frame : 25  Loop : 48214
[01/16/17 14:05:40] Frame : 25  Loop : 47599
[01/16/17 14:05:41] Frame : 25  Loop : 46187
[01/16/17 14:05:42] Frame : 25  Loop : 49017
[01/16/17 14:05:43] Frame : 25  Loop : 48194
[01/16/17 14:05:44] Frame : 25  Loop : 56919
[01/16/17 14:05:45] Frame : 25  Loop : 45717
[01/16/17 14:05:46] Frame : 25  Loop : 51684
[01/16/17 14:05:47] Frame : 25  Loop : 48619
[01/16/17 14:05:48] Frame : 25  Loop : 49598
[01/16/17 14:05:49] Frame : 25  Loop : 49016
[01/16/17 14:05:50] Frame : 25  Loop : 44949
[01/16/17 14:05:51] Frame : 25  Loop : 50587
[01/16/17 14:05:52] Frame : 25  Loop : 52790
[01/16/17 14:05:53] Frame : 26  Loop : 52181
[01/16/17 14:05:54] Frame : 25  Loop : 48750
[01/16/17 14:05:55] Frame : 25  Loop : 51207
[01/16/17 14:05:56] Frame : 26  Loop : 52091
[01/16/17 14:05:57] Frame : 25  Loop : 53524
[01/16/17 14:05:58] Frame : 25  Loop : 50935
[01/16/17 14:05:59] Frame : 25  Loop : 46443
[01/16/17 14:06:00] Frame : 25  Loop : 44226
[01/16/17 14:06:01] Frame : 25  Loop : 51134
[01/16/17 14:06:02] Frame : 25  Loop : 50352
[01/16/17 14:06:03] Frame : 25  Loop : 51902
[01/16/17 14:06:04] Frame : 26  Loop : 53316
[01/16/17 14:06:05] Frame : 25  Loop : 50754
[01/16/17 14:06:06] Frame : 26  Loop : 53425
[01/16/17 14:06:07] Frame : 25  Loop : 39001
[01/16/17 14:06:08] Frame : 25  Loop : 60851
[01/16/17 14:06:09] Frame : 25  Loop : 44345
[01/16/17 14:06:10] Frame : 25  Loop : 43038
[01/16/17 14:06:11] Frame : 25  Loop : 29399
[01/16/17 14:06:12] Frame : 25  Loop : 56051
[01/16/17 14:06:13] Frame : 25  Loop : 54042
[01/16/17 14:06:14] Frame : 25  Loop : 60545
[01/16/17 14:06:15] Frame : 25  Loop : 51151
[01/16/17 14:06:16] Frame : 25  Loop : 60194
[01/16/17 14:06:17] Frame : 25  Loop : 51891
[01/16/17 14:06:18] Frame : 25  Loop : 39860
[01/16/17 14:06:19] Frame : 26  Loop : 48999
[01/16/17 14:06:20] Frame : 26  Loop : 52203
[01/16/17 14:06:21] Frame : 25  Loop : 56885
[01/16/17 14:06:22] Frame : 25  Loop : 53931
[01/16/17 14:06:23] Frame : 25  Loop : 50936
[01/16/17 14:06:24] Frame : 25  Loop : 57616
[01/16/17 14:06:25] Frame : 25  Loop : 56775
[01/16/17 14:06:26] Frame : 25  Loop : 54569
[01/16/17 14:06:27] Frame : 25  Loop : 53342
[01/16/17 14:06:28] Frame : 25  Loop : 49009
[01/16/17 14:06:29] Frame : 25  Loop : 57256
[01/16/17 14:06:30] Frame : 25  Loop : 57785
[01/16/17 14:06:31] Frame : 25  Loop : 51396
[01/16/17 14:06:32] Frame : 25  Loop : 55792
[01/16/17 14:06:33] Frame : 25  Loop : 57601
[01/16/17 14:06:34] Frame : 25  Loop : 54127
[01/16/17 14:06:35] Frame : 25  Loop : 39268
[01/16/17 14:06:36] Frame : 25  Loop : 51471
[01/16/17 14:06:37] Frame : 25  Loop : 53298
[01/16/17 14:06:38] Frame : 25  Loop : 47442
[01/16/17 14:06:39] Frame : 26  Loop : 53670
[01/16/17 14:06:40] Frame : 25  Loop : 55394
[01/16/17 14:06:41] Frame : 25  Loop : 55715
[01/16/17 14:06:42] Frame : 25  Loop : 53172
[01/16/17 14:06:43] Frame : 25  Loop : 60751
[01/16/17 14:06:44] Frame : 25  Loop : 50513
[01/16/17 14:06:45] Frame : 25  Loop : 56614
[01/16/17 14:06:46] Frame : 25  Loop : 56615
[01/16/17 14:06:47] Frame : 25  Loop : 50822
[01/16/17 14:06:48] Frame : 25  Loop : 55579
[01/16/17 14:06:49] Frame : 25  Loop : 52158
[01/16/17 14:06:50] Frame : 25  Loop : 51863
[01/16/17 14:06:51] Frame : 25  Loop : 62167
[01/16/17 14:06:52] Frame : 25  Loop : 48213
[01/16/17 14:06:53] Frame : 25  Loop : 55220
[01/16/17 14:06:54] Frame : 25  Loop : 56047
[01/16/17 14:06:55] Frame : 25  Loop : 51280
[01/16/17 14:06:56] Frame : 25  Loop : 57958
[01/16/17 14:06:57] Frame : 25  Loop : 55261
[01/16/17 14:06:58] Frame : 25  Loop : 53845
[01/16/17 14:06:59] Frame : 25  Loop : 65092
